Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
ABIOMED Inc.,Medical Supplies,8060,NDQ,US,9.24,-0.03,64260,22.1,250.5,0,250.5,209,41.5,38.2,39.7,NA,NA,NA,NA,NA,4.46,6.56,NA,NA,14.22,4.46,5.47,5.26,NA,0.4,NA,0.44,1.91,1.7,0.35,0.72,-0.15,0.53,NA,0.08,-0.04,-0.14,-0.06,-0.05,14.7,61.1,8.8,0.35,-2.3,-2.01,-2.01,-0.81,-1.86,0,0.23,0.17,1.05,0.68,0.7,1.2,32.1,39.7,-20.8,0,0.01,0.05,0,0,0,0,NA,0.15
Abitibi-Consolidated,Paper/Forest Products,2600,NYS,Foreign,4.04,0.01,293600,440,1755.6,4934,6689.6,6554.6,135,5801,5483,NA,NA,0.07,57.71,NA,0.64,0.3,2.67,1.91,0.87,0.87,1.13,1.2,NA,NA,0.08,0.57,0.91,0.95,0.4,0.3,-613.83,0.61,NA,-0.25,-0.04,0.33,-0.02,0.42,7525,9787,307,-16.83,-111,2457.88,2457.88,3439.88,3071.71,0,0.05,0.02,0.02,0.01,385,982,187,5483,-111,44,0.19,0.59,2.81,0.74,0.64,0.02,0.01,0.71
Able Energy Inc,Retail Store,5300,NDQ,US,6.34,-0.02,150851,2.5,18.9,5.8,24.7,22.9,1.8,62,66.9,NA,NA,NA,NA,NA,9,0.3,NA,21.66,3.75,3.13,0.37,0.34,NA,NA,NA,0.18,0.41,0.75,0.83,1.47,-0.13,0.06,NA,0.92,-1,-0.02,-0.03,0,6.1,12.8,-0.4,-0.03,-2.1,-0.14,-0.14,1.06,-0.01,0,-0.01,0.07,0.03,0.14,1.1,1.2,6.1,66.9,-2.3,0,0.03,0.35,0.31,0.23,0.73,0,NA,0.06
Ableauctions.com Inc,Internet,7370,AMS,US,0.31,0,262200,61.6,19.7,0,19.7,11.1,8.6,4.4,3.3,39.4,98.5,NA,NA,NA,1.71,4.48,NA,267.6,3.83,1.71,2.52,3.36,NA,NA,NA,3.49,3.28,0.8,0.5,1.95,-0.4,0.34,0,6.84,0.04,-0.02,0.11,-0.01,2.9,11.8,2.4,-0.6,0.5,-0.06,-0.06,0.04,0.34,0,0.55,0.44,2.61,0.73,0.3,0.1,1.2,3.3,0.2,0,0.01,0.05,0,0,0,0,NA,0.03
Ablest Inc.,Industrial Services,7300,AMS,US,8.39,0.02,3500,2.9,24.2,0,24.2,22.8,1.4,116.4,132.3,26.89,13.44,NA,NA,NA,1.29,0.21,12.4,9.75,1.31,1.29,0.2,0.17,NA,NA,NA,0.11,1.14,0.55,0.33,0.43,1.59,0.52,0,1.37,0.05,0.07,0.01,0.02,17.4,24.7,12.4,1.69,0.9,1.84,1.16,2.34,-0.43,0.37,0.11,0.06,0.01,0.06,0.4,0.5,17,132.3,1.8,0,0.05,0.02,0,0,0,0,NA,0.07
ABM Industries Inc.,Industrial Services,7300,NYS,US,19.6,0,216000,48.7,953.5,0,953.5,890.1,63.4,2416.2,2568.4,22.65,NA,1.15,17.04,1.62,2.16,0.39,12.36,10.46,2.35,2.16,0.37,0.35,0.03,0.14,0.06,0.06,0.88,0.8,0.1,0.23,9,0.76,0.49,0.17,0.1,0.14,0.02,0.03,378.8,842.5,168.3,10.6,42.1,72,52.26,85.1,43.26,0.27,0.07,0.07,0.02,0.08,11.5,13.1,176.7,2568.4,0,20.45,0.3,0.04,0,0,0,0.02,0.23,0.71
ABN Amro Holdings,Bank (Foreign),6051,NYS,Foreign,26.14,-0.01,265300,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.3,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.03
AboveNet Inc,Internet,7370,NDQ,Foreign,28.5,0.02,9364,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.06
Abrams Ind,Manuf. Housing/RV,3792,NDQ,US,4.35,0,2100,3.5,15.2,26.6,41.8,38.4,3.4,22.7,22.9,NA,NA,NA,NA,NA,0.73,0.67,22.77,10.71,0.87,0.88,1.69,1.68,NA,NA,NA,-0.42,0.72,0.45,0.48,0.4,-0.73,0.36,NA,-0.43,-0.06,0.04,-0.06,0.07,44.1,57.1,8.2,0.07,-1.3,1.69,1.69,3.59,2.41,0,0.36,0.08,0.15,0.06,1.1,1.9,9.3,22.9,-0.7,0,0.15,0.44,1.75,0.64,0.56,0,NA,0.09
Abraxas Petrol,Petroleum (Producing),1300,AMS,US,5.25,-0.01,224800,36.5,229.3,126.4,355.7,354.4,1.3,33.9,40.8,NA,NA,NA,NA,NA,NA,6.76,18.16,13.27,4.95,NA,10.45,8.69,NA,NA,NA,-0.15,0.55,1,0.66,0.8,-1.87,0.14,NA,-0.1,NA,0.27,-0.14,0.58,71.6,152.7,-19.5,-3.97,-4.7,19.52,19.52,26.72,21.39,0,-0.58,0,0.03,0.01,9.3,7.2,5.1,40.8,-2.4,0,0,0.51,0.55,0.36,NA,0,NA,0.17
ABX Air Inc,Air Transport,4510,NDQ,Foreign,7.85,0.05,718640,58.3,426.2,181.9,608.1,569.4,38.7,1202.5,1429.1,11.52,10.82,NA,NA,NA,4.85,0.35,4.31,3.37,2.46,2.25,0.47,0.4,NA,NA,NA,0.04,0,1.3,0.14,0,25.14,NA,0,0.19,0.42,0.57,0.03,0.11,231.1,472.9,-62.4,-11.76,37,132.03,132.03,168.83,106.89,0,-0.05,0.06,0.03,0.08,73.7,36.8,0,1429.1,39.4,0,0,0.74,0.43,0.3,0.67,0,NA,0.65
Acacia Research Corp.,Entertainment,7950,NDQ,US,6.9,-0.01,92405,19.8,184.8,0,184.8,156.2,28.6,4.3,13.6,NA,NA,NA,NA,NA,6.42,42.98,NA,NA,781,6.42,36.33,11.49,NA,NA,NA,0,0,1.5,0.28,0,-3.74,NA,NA,5.25,-0.19,-3.57,-1.26,-0.17,0.2,33.1,-1.5,-3.24,-5.4,-0.71,-0.71,-0.11,3.03,0,-0.35,0.15,2.1,0.86,0.1,0.6,5,13.6,-10.6,0,0.1,0,0,0,0,0,NA,0.48
Acacia Research-CombiMatrix,Biotechnology,2830,NDQ,US,1.37,0.01,439747,31.2,52.6,0,52.6,28.9,23.7,19.6,NA,35.07,NA,NA,NA,NA,1.12,2.68,7.19,4.65,1.25,1.12,1.47,NA,NA,NA,NA,0,0,1.5,0.52,0,0.2,NA,0,0.05,0.03,0.17,0.08,0.21,23.1,55.4,-1.6,1.6,1.5,4.02,4.02,6.22,3.82,0,-0.08,0.45,NA,0.43,0.8,2.2,14.7,0,-12.7,0,0.51,0.04,0,0,0,0,NA,0.06
Acadia Pharmaceuticals Inc,Drug,2834,NDQ,Foreign,9.85,-0.01,43044,16.9,234.2,2.5,236.7,200.8,35.9,4.6,9.6,NA,NA,-1.26,NA,NA,7.63,50.91,NA,NA,NA,7.13,43.65,20.92,NA,NA,NA,-0.38,0,0,0.35,0,-6.46,NA,NA,0.29,-0.84,8.3,-5.63,-4.87,-2.7,40.4,-5.3,-5.76,-25.9,-22.41,-22.41,-21.11,-15.95,0,-1.15,0.15,3.74,0.89,0.6,1.3,4.9,9.6,-31.2,0,0,0.06,0.01,0.01,0.08,0,NA,0.34
Acadia Rlty Trust,R.E.I.T.,6720,NYS,US,20.01,0,89700,0,0,0,0,0,0,NA,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0,0.3,0.6,0.15,0.16,0,0.37,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,80.2,0,0,NA,NA,NA,NA,NA,0,NA,0.86
Acceler8 Technology Corp,Diversified Co.,9913,AMS,US,2.99,0.01,2400,10,29.9,0,29.9,24.3,5.6,0.5,0.4,NA,NA,NA,NA,NA,3.08,59.8,NA,NA,5.93,3.08,48.6,60.75,NA,NA,NA,2.99,0,1,0.28,0,-0.2,NA,NA,0.1,-0.22,-0.51,-4.2,-4.15,4.1,11,0,0,-2.1,-2.07,-2.07,-1.77,-1.87,0,0,0.19,14,0.51,0.1,0.3,2.3,0.4,-2.4,0,0.35,0.02,0,0,0,0,NA,0.11
Accelrys Inc,Healthcare Information,7375,NDQ,Foreign,8.03,0.03,169678,26,206.5,0,206.5,149.8,56.7,69.6,78.3,NA,NA,NA,NA,NA,2.2,2.97,NA,NA,4.04,2.2,2.15,1.91,NA,NA,NA,-0.44,0,1.7,0.3,0,-7.64,NA,NA,0.63,-0.26,-0.32,-0.35,-0.17,37.1,160.6,-28.3,-3.54,-24.1,-12.03,-12.03,-2.83,-4.4,0,-0.41,0.27,0.72,0.35,5.1,9.2,54.7,78.3,-19.9,0,0.33,0.06,0,0,0,0,NA,0.56
Accents Biopharmaceuticals,Drug,2834,NDQ,Foreign,5.05,0,38550,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0
Accenture Ltd.,Computer Software/Svcs,3579,NYS,Foreign,28.86,0,1341500,923.7,16398.2,75.2,16473.4,13526,2947.4,17094.4,17094.4,19.33,19.33,1.65,17.49,1.49,9.66,0.96,5.87,5.23,NA,9.3,0.79,0.79,NA,0.13,0.13,0.18,1.47,1.3,0.17,0.27,35.7,1.08,0.33,0.02,0.5,-1.31,0.05,0.13,-1175.3,8957.4,-1093.5,0,848.2,2304.33,1544.36,2586.43,1508.66,0.33,-0.06,0.18,0.17,0.33,317.8,282.1,3070.2,17094.4,848.2,277.11,0.04,0.08,0,0,0.04,0.01,0.02,0.38
Acceptance Insurance,Insurance (Prop/Cas.),6330,NDQ,US,0,0,4500,14.2,0.1,94.9,95,64.8,30.2,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.8,NA,0,0,NA,0,NA,NA,NA,NA,NA,-32.7,485.1,0,0,29.8,NA,NA,NA,NA,0,NA,0.32,NA,0.06,0,0,1,0,30.9,0,0,0,949,1,NA,0,NA,0
Access Anytime Bancorp Inc,Thrift,6120,NDQ,US,18.56,-0.04,3030,1.2,31.8,8,39.8,28.2,11.6,NA,NA,24.46,19.88,NA,NA,NA,2.06,NA,NA,NA,2.39,1.7,NA,NA,0.23,NA,NA,0,0.37,0.45,0.23,0.32,0,0.23,0,NA,0.08,NA,NA,NA,11.8,205.4,0,0,1.3,NA,NA,NA,NA,0.27,NA,0.29,NA,0.06,0,0,3.3,0,1.6,0,0.01,0.02,0.25,0.2,0.34,0,NA,0.31
Access Integrated Tech. Inc,Information Services,8900,AMS,Foreign,10.4,-0.05,28300,10.3,167.1,20.5,187.6,182.8,4.8,10.7,12.5,NA,NA,NA,NA,NA,14.79,15.62,NA,79.9,6.77,5.9,17.08,14.62,NA,NA,NA,0.37,0,0.45,NA,0,-2.3,NA,NA,1.34,-0.6,-0.06,-0.64,-0.16,27,37.8,-1.2,-0.2,-6.8,-1.71,-1.71,2.29,0.59,0,-0.11,0.03,0.38,0.13,1.9,4,6.9,12.5,-8.3,0,0.36,0.38,0.12,0.11,0.64,0,NA,0
Access Pharmaceuticals Inc,Drug,2834,AMS,US,0.53,-0.05,72900,15.5,10.2,14.1,24.3,22,2.3,0.5,0.9,NA,NA,NA,NA,NA,NA,20.4,NA,NA,4.31,NA,44,24.44,NA,NA,NA,-0.64,2.02,0.85,0.73,0.77,-1.78,0.52,NA,0.23,NA,-1.5,-20.4,-15.33,5.1,11.1,-1.6,-1.28,-10.2,-7.66,-7.66,-6.96,-5.88,0,-3.2,0.09,2.56,0.21,0.2,0.7,3.2,0.9,-11.2,0,0.39,0.09,1.38,0.58,NA,0,NA,0.17
Access Worldwide Comm,Computer Software/Svcs,3579,NDQ,US,0.51,-0.04,870,10.8,6.4,4.9,11.3,8.7,2.6,47.5,39,NA,NA,NA,NA,NA,NA,0.13,7.54,3.54,1.36,2.26,0.18,0.22,NA,NA,NA,-0.17,1.89,0,0.43,1.1,-0.3,0.34,NA,-0.26,-14,0.18,-0.03,0.02,6.4,16,-1.1,0.2,-1.4,1.15,1.15,2.45,1.46,0,-0.02,0.23,0.07,0.16,0.8,1.3,20.6,39,-3.9,0,0,0.23,0.77,0.43,0.98,0,NA,0.01
Accesspoint Corp /NV/,Internet,7370,NDQ,US,0.02,0,2112,19,0.4,0.7,1.1,1.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.64,0.15,NA,2.68,0,-0.2,NA,NA,NA,NA,NA,NA,-1.3,0.4,-1.6,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,-0.1,0,0,0,1.75,0.64,NA,0,NA,0
Acclaim Entertainment,Entertainment Tech,3663,NDQ,US,0.01,0,658112,109.4,1.1,41.3,42.4,41.3,1.1,142.7,142.7,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,0.29,0.29,NA,NA,NA,-0.55,3.21,1.1,NA,1.25,-12.4,0.51,NA,0.41,NA,0.53,-0.4,-0.21,-57.8,47.3,-71,0,-56.4,-30.52,-30.52,-17.52,-18.12,0,-0.5,0.03,0.01,0.02,0.6,13,107.6,142.7,-56.4,0,0,0.31,37.55,0.97,NA,0,NA,0
Acco Brands,Office Equip/Supplies,3570,NYS,Foreign,24.5,0.01,242200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.42,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.53
Accredited Home Lenders Hldg,Financial Svcs. (Div.),6100,NDQ,US,49.58,-0.01,441966,21.4,1081.3,3954.1,5035.4,4995.7,39.7,NA,NA,8.27,7.19,7.05,7.03,0.65,2.98,NA,NA,NA,1.17,1.17,NA,NA,NA,0.13,NA,0,0,1.6,0.24,0,0,NA,0,NA,0.36,NA,NA,NA,4277,6688.4,0,0,130.8,NA,NA,NA,NA,0.39,NA,0.01,NA,0.01,0,0,0,0,150.3,0,0,0,3.66,0.79,0.92,0,NA,0
Accufacts Pre Employment Scree,Human Resources,7363,NDQ,US,0.42,0.02,28300,6.7,2.8,0,2.8,1.5,1.3,5.1,5.2,9.33,9.33,NA,NA,NA,1.75,0.55,2.3,1.99,5,1.75,0.29,0.29,NA,NA,NA,0.12,0.46,0,0.5,0.91,0,0.1,0,0,0.19,1.31,0.06,0.13,0.3,2.2,-0.1,0,0.3,0.65,0.39,0.75,0.4,0.4,-0.02,0.46,0.25,0.59,0.1,0.1,1.1,5.2,0.3,0,0.14,0.05,0,0,0,0,NA,0
AccuPoll Holding Corp,Machinery,3500,NDQ,Foreign,0.02,0,491066,235.6,5.2,4.6,9.8,9.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.38,1.15,0.9,1.07,-2.8,0.26,NA,NA,NA,NA,NA,NA,-2.2,1.4,-3.3,0,-10.4,NA,NA,NA,NA,0,NA,0,NA,0,0,2.8,5.5,0,-10.4,0,0,0,0.88,0.47,NA,0,NA,0
Accuride Corporation,Auto & Truck,3710,NYS,Foreign,12.9,0,107000,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.3,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.45
Ace Cash Express Inc.,Financial Svcs. (Div.),6100,NDQ,US,23.35,0,37883,13.7,323.3,45.8,369.1,259.7,109.4,268.6,272.8,11.8,12.83,1.91,12.23,1.03,1.64,1.2,4.35,3.69,1.95,1.52,0.97,0.95,0.17,0.12,NA,0.06,0.89,0.5,0.24,0.42,8.2,0.42,0,0.23,0.14,0.27,0.1,0.22,133.1,292.6,-0.2,0,27.4,59.66,36.39,70.46,28.19,0.39,0,0.3,0.4,0.37,19,10.8,0,272.8,25.2,0,0.34,0.13,0.14,0.12,0.19,0,NA,0.69
ACE Limited,Insurance (Prop/Cas.),6330,NYS,Foreign,53.48,-0.01,349400,284.5,15333.4,1848.9,17182.3,12148.5,5033.8,NA,NA,15.6,15.6,5.7,9.38,1.2,2.03,NA,NA,NA,1.36,1.47,NA,NA,0.05,0.13,NA,0,1.16,1.5,0.19,0.22,0,1.06,0.27,NA,0.1,NA,NA,NA,8950.9,56342.4,0,0,983.2,NA,NA,NA,NA,0.19,NA,0.29,NA,0.09,0,0,11528.3,0,983.2,261.74,0,0,0.12,0.11,0.16,0.02,0.02,0.82
ACE*COMM Corp,Telecom. Equipment,4811,NDQ,US,3.14,0.02,53133,13.8,51.8,2.4,54.2,51.5,2.7,20,22,NA,NA,NA,NA,NA,9.59,2.59,NA,NA,10.1,6.95,2.58,2.34,NA,NA,NA,0.46,2.79,1.15,0.31,1.11,-0.47,0.5,NA,0.08,-1.2,-1.15,-0.33,-0.29,5.1,13.6,0.3,0.03,-6.5,-5.85,-5.85,-5.15,-5.38,0,0.02,0.05,0.12,0.2,0.2,0.7,17.6,22,-6,0,0.27,0.04,0.05,0.04,0.31,0,NA,0.11
Aceto Corp.,Chemical (Diversified),2813,NDQ,US,6.58,-0.01,79644,24.3,158.4,0.6,159,134,25,313.4,307.9,14.94,17.6,0.31,21.23,NA,1.47,0.51,10.45,9.49,1.61,1.47,0.43,0.44,0.1,NA,NA,0.04,2.99,0.85,0.41,0.65,1.08,0.92,0.34,0.1,0.1,0.13,0.03,0.04,83.3,149,69.8,-1.22,10.6,12.82,10.65,14.12,9.57,0.17,0.22,0.16,0.08,0.17,3.6,1.3,41.6,307.9,9,3.65,0.03,0.04,0,0,0.01,0.02,NA,0.5
ACI Telecentrics,Telecom. Services,4810,NDQ,US,0,0,100,5.8,0.1,2.9,3,2.2,0.8,30.3,30.3,NA,NA,NA,NA,NA,0.02,0,7.41,0.92,0.35,0.43,0.07,0.07,NA,NA,NA,-0.08,4.31,0.45,NA,8.39,-1.7,0.1,NA,-5.73,-0.59,0.05,-0.08,0.01,6.2,11.8,2.1,0,-2.4,0.3,0.3,2.4,2,0,0.07,0.27,0.03,0.07,0.4,2.1,14.3,30.3,-2.4,0,0,0.32,29,0.97,0.41,0,NA,0
ACM Income Fund,Investment Co.,6730,NYS,US,8.26,0,320200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.01,0.4,0.03,0.13,0,-0.02,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.08,NA,0.01
ACMAT Corp,Insurance (Prop/Cas.),6330,NDQ,US,16.8,-0.01,2050,2.3,39.4,19.1,58.5,20.8,37.7,19.2,27.8,24.63,17.91,NA,NA,NA,0.94,2.05,3.5,2.52,0.89,0.96,1.08,0.75,-0.04,NA,NA,-0.39,0.58,0.5,NA,0.24,-27.27,0.48,0,-7.19,0.04,0.16,0.08,0.31,23.5,132.4,-56.2,-25.17,1.6,5.94,3.8,8.24,31.07,0.36,-2.93,0.64,1.36,0.28,0.2,2.3,5.3,27.8,2.2,0,0.01,0.08,0.48,0.33,0.31,0,NA,0.24
ACME Communications Inc,Entertainment,7950,NDQ,US,3.55,-0.03,42715,16,59.7,45.5,105.2,103.5,1.7,46.9,46.1,NA,NA,NA,NA,NA,0.79,1.27,11.35,3.84,0.87,0.87,2.21,2.25,NA,NA,NA,0.13,0.91,0.7,0.39,0.35,-11.25,0.52,NA,-1.23,-0.19,0.08,-0.31,0.19,119,171.2,-2.7,0.05,-14.6,9.12,9.12,26.92,20.38,0,-0.06,0.02,0.04,0.01,6.5,17.8,22.3,46.1,-14.8,0,0.66,0.17,0.76,0.43,0.38,0,NA,0.45
Acme United Corp.,Household Products,2840,AMS,US,13.96,0.01,1600,3.4,48.1,1.5,49.6,47.7,1.9,43.4,49.8,15.03,16.59,NA,NA,NA,3.44,1.11,7.93,7.32,3.51,3.2,1.1,0.96,NA,NA,NA,0.19,0.74,0.6,0.26,0.37,1.54,0.4,0,0.42,0.23,0.27,0.07,0.14,13.6,23,11.1,1.64,3.2,6.02,3.65,6.52,2.11,0.39,0.26,0.04,0.04,0.08,0.4,0.5,14.2,49.8,2.9,0,0.03,0.1,0.03,0.03,0.1,0,NA,0.14
ACNB Corporation,Bank,6000,NDQ,US,19.9,0.01,5892,5.4,107.9,132,239.9,218.1,21.8,NA,NA,11.6,11.6,NA,NA,NA,1.45,NA,NA,NA,1.18,1.16,NA,NA,NA,NA,NA,0,-0.03,0.4,0.19,0.09,0,-0.07,0.49,NA,0.12,NA,NA,NA,184.7,924.2,0,0,9.3,NA,NA,NA,NA,0.2,NA,0.09,NA,0.02,0,0,9.5,0,9.3,4.54,0,0,1.22,0.55,0.64,0.04,NA,0.01
ACR Group Inc.,Electrical Equipment,3600,NDQ,US,3.3,0.06,7300,11.8,37.4,27.8,65.2,63.1,2.1,199.6,197,8.9,11.33,NA,NA,NA,2.11,0.19,7.65,6.9,1.45,1.43,0.32,0.32,0.11,NA,NA,0.04,2.06,1,0.31,0.76,-0.54,0.54,0,-0.11,0.24,0.12,0.02,0.04,43.4,67.7,33.5,-0.44,4.2,8.24,5.11,9.14,5.64,0.38,0.17,0.03,0.01,0.03,0.8,0.9,39.3,197,3.3,0,0.08,0.06,0.74,0.43,0.61,0,NA,0
ACS-Tech80 Ltd,Machinery,3500,NDQ,Foreign,4.3,-0.03,54700,3.1,14,0,14,11.4,2.6,14.4,12.1,6.67,14,NA,NA,NA,1.46,0.97,4.16,3.63,1.63,1.46,0.79,0.94,NA,NA,NA,0.42,0,0.2,0.49,0,-0.81,NA,0,-0.32,0.22,0.36,0.15,0.19,7,12.3,3.8,-0.61,2.1,2.74,2.54,3.14,3.34,0.07,0.26,0.19,0.21,0.21,0.2,0.4,4.4,12.1,1,0,0,0.07,0,0,0,0,NA,0
ACT Teleconferencing,Telecom. Services,4810,NDQ,US,0.19,-0.05,551382,16.6,3.5,16.2,19.7,17,2.7,53.5,51.8,NA,NA,NA,NA,NA,0.27,0.07,4.79,1.88,0.65,0.68,0.32,0.33,NA,NA,NA,-0.37,2.05,0.9,NA,1.17,-3.61,0.35,NA,-1.02,-0.37,0.14,-0.09,0.07,26.3,38.5,0.4,-0.01,-4.7,3.55,3.55,9.05,7.17,0,0.01,0.14,0.05,0.07,1.9,5.5,22.2,51.8,-16.1,0,0.23,0.43,4.63,0.82,0.56,0,NA,0.21
Actel Corp.,Computers/Peripherals,3573,NDQ,US,12.73,-0.01,81961,25.4,328.9,0,328.9,174.2,154.7,165.5,175.9,137.04,121.81,0.36,35.36,10.15,1.24,1.99,18.73,8.8,1.58,1.24,1.05,0.99,-0.27,0.14,NA,0.1,3.01,1.45,0.2,0.52,2.69,1.16,0,0.29,0.01,0.08,0.01,0.06,110.1,315.3,39.7,2.49,2.4,9.3,9.3,19.8,6.61,0,0.24,0.47,0.88,0.49,10.7,10.5,93.6,175.9,2.7,0,0.11,0.07,0,0,0,0,NA,0.92
Action Products Intl,Educational Services,8299,NDQ,US,2.33,0.01,9253,4.6,11.7,2,13.7,12.8,0.9,9.1,9.5,NA,39,NA,NA,NA,2.29,1.29,29.74,15.41,2.06,1.93,1.41,1.35,NA,NA,NA,-0.12,2.06,0.55,0.45,0.79,-0.14,0.52,NA,-0.33,-0.02,0.07,-0.01,0.05,6.2,7.9,3.6,0.16,-0.1,0.43,0.43,0.83,0.57,0,0.4,0.07,0.09,0.11,0.1,0.4,4.7,9.5,0.3,0,0.18,0.16,0.17,0.15,0.28,0,NA,0.02
Actions Semiconductor Co Ltd,Semiconductor,3674,NDQ,Foreign,7.9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0
Actionview Int'l Inc,Advertising,7310,NDQ,Foreign,0.08,0,93200,21.3,1.3,0.1,1.4,1.4,0,0.1,NA,NA,NA,NA,NA,NA,0.62,13,NA,NA,0.64,0.64,14,NA,NA,NA,NA,1.05,0,0.7,0.51,0,0.2,NA,NA,-0.34,-0.71,-0.27,-15,-5.93,2.2,2.7,-0.4,0.4,-1.5,-0.59,-0.59,-0.29,-0.79,0,-4,0,NA,0,0.1,0.3,0.7,0,-1.1,0,0.89,0.07,0.08,0.07,0.05,0,NA,0
ActivCard,Computer Software/Svcs,3579,NDQ,Foreign,3.49,-0.01,232888,42.5,157.3,1.6,158.9,-55.2,214.1,26.9,42.2,NA,NA,NA,NA,NA,0.72,5.85,NA,NA,NA,0.72,NA,NA,NA,NA,NA,-0.3,0,1,0.51,0,-7.83,NA,NA,0.35,-0.13,-3.76,-1.02,-0.84,6,251.1,-11.3,-6.43,-27.4,-22.56,-22.56,-20.16,-14.74,0,-0.42,1.35,5.07,0.85,1,2.4,40.4,42.2,-47.9,0,0.09,0.02,0.01,0.01,0.01,0,NA,0.53
Active Power,Power,4900,NDQ,US,3.85,0.02,96193,42.8,186.7,0,186.7,147,39.7,15.8,17,NA,NA,-0.37,NA,NA,3.21,11.82,NA,NA,7.99,3.21,9.3,8.65,NA,NA,0.54,0.75,3.27,1.55,0.34,0.68,-1.6,0.96,NA,0.07,-0.39,-1.17,-1.44,-1.36,18.4,63.4,3.9,0.3,-22.7,-21.5,-21.5,-19.3,-19.9,0,0.25,0.21,2.34,0.63,0.3,2.2,21.4,17,-22.7,0,0.01,0.12,0,0,0,0,0.17,0.45
